epoch,g_loss,d_loss,d_x,d_g_z,time
1,5.844262100851444,0.32267043717167415,0.8924423137970288,0.020379806701301212,6.925041437149048
2,4.843016604328399,0.31373603156079416,0.8882532806500144,0.029929188717182455,6.780169486999512
3,3.9308540265235448,0.40255570251618505,0.8617517066276287,0.0680938563227732,6.773545503616333
4,3.9097197362557625,0.3193645370585839,0.8890434945254679,0.059306684969876754,6.738515853881836
5,3.9800862232151695,0.35156812293031026,0.8969092888905265,0.06525531338060611,6.771715402603149
6,3.870141221712941,0.3402063582292603,0.8862554918393455,0.06487024598352066,6.77114462852478
7,3.4812193927938675,0.3726114483974169,0.8698320243498097,0.08379761896529675,6.7938573360443115
8,3.2610175011136455,0.46765962525097,0.8473824332361026,0.09899891344228964,6.770599603652954
9,3.3907650317377445,0.43408205739372524,0.8485585694270366,0.08999049013999798,6.76951789855957
10,3.322605303974579,0.4379255911692634,0.8475058714066015,0.09452689745162121,6.750610113143921
11,3.216151106502394,0.489348772617862,0.8379499118041505,0.10214183724138771,6.77245831489563
12,3.1287136674619545,0.47729060240566273,0.8390934463123532,0.10990291914147565,6.7886435985565186
13,3.066969118802749,0.3936065572416386,0.8570987316624968,0.10245823256111385,6.768654108047485
14,3.176498855192624,0.46986770919521753,0.8472885256799896,0.10631628982086197,6.779338598251343
15,3.186925203406045,0.4425133996454956,0.857070752097975,0.10331907544633114,6.757357835769653
16,3.3058815298749664,0.4208985693428827,0.860074357894223,0.09332457642533037,6.794093370437622
17,3.1977772289301125,0.4211410915150362,0.8601593143018462,0.10058028475002415,6.780622959136963
18,3.1894142723325496,0.34500939536201375,0.8754866917801025,0.09144570381806978,6.811574697494507
19,3.128522971140035,0.5191320959107041,0.8426679098547515,0.11750979248635446,6.767773628234863
20,3.0558724147660654,0.3680185088149422,0.8657148324734415,0.1041619631661581,6.794983863830566
21,3.040493060142764,0.42140418521659756,0.8561885577943319,0.11329212992632513,6.813335180282593
22,2.919343212128753,0.520312010174822,0.8358415733841832,0.13059200303163976,6.794792175292969
23,3.0119198984216395,0.45541453611134264,0.8528052180471932,0.1184786986333349,6.816254615783691
24,2.928027765756316,0.4161457973901573,0.8516267198507134,0.11652186434969658,6.814870357513428
25,2.9444625396317208,0.5358146527386687,0.8393692692891811,0.1311133144058414,6.809169054031372
26,2.805960534326256,0.4242598538279838,0.8453369237806486,0.12467636817130152,6.792086839675903
27,2.9611907287708026,0.4504089415683161,0.841181504337684,0.12551186307448933,6.787000894546509
28,2.899352956553707,0.4362895346587271,0.8479670966067887,0.12508939771705765,6.767303466796875
29,2.8574878004048485,0.4485536043906151,0.8444009047582783,0.13289243084750116,6.78901219367981
30,3.010637022497709,0.36026181806536284,0.8665988599629049,0.10938746943924567,6.786767482757568
