epoch,loss,recon_loss,kl_loss,time
1,0.4497354489135742,0.4497354489135742,4.454376395988464,2.447648286819458
2,0.2648946258163452,0.26433309925079346,5.61526548828125,2.167193651199341
3,0.22275296474456788,0.22176262786865233,4.9516834057617185,2.1762547492980957
4,0.2008141022872925,0.1994531887435913,4.536378435058594,2.201638698577881
5,0.1843871765899658,0.18264631519317626,4.352152742919922,2.1832640171051025
6,0.1740923348236084,0.1719605517578125,4.263565598144531,2.1718504428863525
7,0.1645034725189209,0.16198376628875732,4.1995111010742185,2.163214683532715
8,0.15780609058380127,0.15492300308227538,4.118696518554687,2.251408576965332
9,0.1526062505722046,0.14937274196624756,4.041885318603516,2.2477755546569824
10,0.1472302598953247,0.14366488456726073,3.9615282904052735,2.1619157791137695
11,0.14401991207122802,0.14012088937759398,3.899022825927734,2.267897367477417
12,0.1413109765434265,0.13742764003753663,3.8833364489746094,2.1962530612945557
13,0.13687351415634155,0.13300266035079955,3.870853701171875,2.1921772956848145
14,0.13447474452972413,0.130604608707428,3.870135948486328,2.231076240539551
15,0.13141454778671266,0.12755393074035645,3.8606167163085936,2.186661958694458
16,0.12940138442993165,0.1255408599281311,3.8605240856933594,2.209336519241333
17,0.12744476833343507,0.12359341747283936,3.851350795288086,2.2576279640197754
18,0.12601056602478028,0.12216476320266724,3.845802813720703,2.2156119346618652
19,0.12442320901870728,0.12058409521102906,3.8391136700439454,2.185420036315918
20,0.12318956552505493,0.11934917398452759,3.8403914080810546,2.1959099769592285
21,0.1220251602935791,0.11817890144348145,3.8462586614990233,2.196458339691162
22,0.12105308917999268,0.11720938095092774,3.8437077392578125,2.2143166065216064
23,0.1202690733718872,0.11643583181381226,3.8332414166259765,2.1891491413116455
24,0.1198598133468628,0.1160258392906189,3.833973812866211,2.1976840496063232
25,0.11993206081390381,0.11609669267654418,3.8353678454589843,2.1683590412139893
26,0.11845342437744141,0.11462061525344848,3.832809248046875,2.2168188095092773
27,0.11873831077575683,0.11490942739486694,3.8288832928466796,2.269355058670044
28,0.11799610940933228,0.11417095113754272,3.82515841796875,2.2141642570495605
29,0.11747922475814819,0.11366436906814575,3.8148554748535157,2.1925177574157715
30,0.11692340814590454,0.11311240938186645,3.8109985614013673,2.1984505653381348
31,0.11703066631317138,0.1132253706741333,3.8052953521728514,2.2128326892852783
32,0.11668890092849732,0.11288183458328246,3.8070662060546874,2.2222812175750732
33,0.11619242845535278,0.1123882914352417,3.8041367736816407,2.2059719562530518
34,0.11580622116088868,0.11201168130874634,3.7945396295166014,2.2703888416290283
35,0.11551932792663575,0.11173094730377198,3.788380325927734,2.2003982067108154
36,0.1153212952041626,0.11153757246017457,3.7837224157714844,2.24564528465271
37,0.11521624813079834,0.11143429681777954,3.7819511126708982,2.1947555541992188
38,0.11510000211715699,0.11131072261810303,3.7892792431640623,2.254762887954712
39,0.11467679769515991,0.1108929303741455,3.783866806640625,2.1618566513061523
40,0.11474215990066529,0.11096960035324097,3.772559327392578,2.1940736770629883
